"title","year","actors","directors","country","language","description"
"My Angel",2011,"Joseph Phillips Timothy Spall Brenda Blethyn Celia Imrie Mel Smith","Stephen Cookson",NA,"English","Two of Britain's finest actors, Timothy Spall (Harry Potter) and Brenda Blethyn (Pride and Prejudice), star in this heart-warming Christmas story perfect for the whole family. Fifteen-year-old Eddie (Joseph Phillips) is on a shopping trip with his mother when she is tragically struck by a car and left in critical condition. With their father absent from their lives, Eddie and his brother Stewart (Angus Harrison) face the daunting prospect of potentially losing their mother just as Christmas approaches. One night, Eddie's mother visits him in a dream urging him to find a halo so that she may be saved. Stewart scoffs at Eddie’s ""childish"" dream and the only person Eddie can turn to is the grumpy Mr. Lambert (Spall), from his school. Will Eddie be able to find an angel and save his mother before Christmas?"
"Anaganaga O Dheerudu",2011,"Siddharth Shruti Haasan Lakshmi Manchu Harshitha","Prakash Kovelamudi","India","Telugu","Irendri (Lakshmi Manchu) is a sorceress, who terrorises people of Anga Rajyam. A guru arrests her, doesn't allow her to play with the lives of people, and destroys her. Before she was destroyed, Irendri takes her soul away and traps it in a locket. Though she dies, her soul lives in the locket. Her great-great-granddaughter is Priya (Shruthi Haasan) and she lives as a gypsy."
"Phineas and Ferb the Movie: Across the 2nd Dimension",2011,"Vincent Martella Thomas Sangster Ashley Tisdale Dee Bradley Baker Dan Povenmire Caroline Rhea Jeff ""Swampy"" Marsh John Viener Alyson Stoner","Dan Povenmire Robert F. Hughes"," of origin United States",NA,"To celebrate the anniversary of Perry becoming their pet, Phineas and Ferb create an enormous shuttlecock to play giant badminton. When Perry's hovercraft accidentally collides with their shuttlecock, the boys crash into Dr. Doofenshmirtz's lab and destroy his ""Other-Dimension-inator"", which creates portals to parallel dimensions. Intrigued, the two help Doofenshmirtz rebuild the machine. Perry arrives to stop Doofenshmirtz, but unwilling to reveal his secret identity to the boys, reverts to pet mode and is unable to stop them from helping Doofenshmirtz."
"Pixie Hollow Games",2011,"Mae Whitman Lucy Liu Raven-SymonéMegan Hilty[1]Angela Bartys","Bradley Raymond[1]"," of origin United States",NA,"Rosetta is busy helping to set up flowers for the big night, when she meets a new garden fairy named Chloe, who drops a lump of dirt in front of her, accidentally getting her dirty and, because she's ironically afraid of dirt, causing her to freak out until Silvermist douses her with a water droplet. Chloe announces she has been training for the Pixie Hollow Games and is excited to be competing. Even though the garden fairies have little hope of winning and haven’t ever won, Chloe is confident that she and her partner can turn things around and end the losing streak. When it comes time for the team selection, Chloe has already volunteered and Rosetta is selected to be her partner."
"Pokémon the Movie
Black Victini and Reshiram and White Victini and Zekrom",2011,"Rica Matsumoto Aoi Yūki Mamoru Miyano Ikue Ōtani","Kunihiko Yuyama","Japan","Japanese","The two films follow a similar plot with some major and minor changes, notably the Pokémon that appear, Reshiram and Zekrom swapping roles. In the opening scenes, a man named Damon approaches a remote village with the intention of revitalising the land of the People of the Vale. A natural disaster occurs, but Damon summons either Reshiram or Zekrom to save the villages."
"Puss in Boots",2011,"Antonio Banderas Zach Galifianakis Salma Hayek Billy Bob Thornton Amy Sedaris Constance Marie","Chris Miller","United States","English","Puss in Boots (Antonio Banderas) is a talking cat named for his signature pair of boots. Puss is a fugitive on the run from the law, looking to restore his lost honor. He learns that the outlaw couple Jack (Billy Bob Thornton) and Jill (Amy Sedaris) have the magic beans he's been looking for most of his life, which can lead him to a giant's castle holding valuable golden goose eggs. When Puss tries to steal them from the outlaws' room, a female cat named Kitty Softpaws interrupts, and both fail. Kitty is allied with Humpty Alexander Dumpty, a talking egg and Puss' long-estranged childhood friend from the orphanage where he was raised. Puss tells Kitty his origin story and of his feelings of betrayal for a youthful misadventure when Humpty tricked Puss into helping commit a bank robbery in his hometown of San Ricardo; Puss has been on the run ever since. Humpty eventually convinces Puss to join them in finding the beans and retrieving the golden eggs."
"Quest for Zhu",2011,"Mariah Wilkerson Shannon Chan-Kent Ian Corlett Sean Campbell Erin Mathews Jillian Michaels Jan Rabson Kathleen Barr","Bob Douchette","United States Canada","English",NA
"Red Dog",2011,"Koko Josh Lucas Rachael Taylor John Batchelor","Kriv Stenders","Australia","English Italian Serbian Russian Polish","In 1971, a truck driver Thomas (Luke Ford) arrives in Dampier, Western Australia late one night, having transported a previously ordered statue of William Dampier to the town. Upon entering the town pub he sees the silhouettes of a group of men, one of whom is holding a gun. Believing it is a murder, he rushes into the next room, where he sees that the men are trying to put down an apparently sick dog (played by Koko). Unable to bring themselves to carry out the euthanasia, the men, with Thomas, retreat to the bar."
"Rio",2011,"Jesse Eisenberg Anne Hathaway George Lopez Jemaine Clement Tracy Morgan Leslie Mann Will.i.am Jamie Foxx","Carlos Saldanha","United States","English[2]","In Brazil, various exotic birds are smuggled out of the country. In Moose Lake, Minnesota, a crate with a male Spix's macaw hatchling falls out of a truck and is found by a little girl named Linda Gunderson, who names him Blu. Over the next 15 years,[7] Linda comes to own a bookstore. Highly domesticated and unable to fly because he is scared to, Blu is ridiculed frequently by the Canada geese that come by outside of Linda's bookstore."
"SeeFood",2011,"Gavin Yap Diong Chae Lian Christina Orow Kennie Dowle","Goh Aun Hoe (吴侒何)","Malaysia, China","English","Julius and his friend Pup play around the ocean bed, when two human divers steal several shark eggs from the reef, despite Pup's efforts to prevent it. Julius takes Pup to a sunken ship for dinner, but Pup is too upset to eat anything. Pup meets his friend Octo, who takes Pup to show off his invention; an underwater car, and take it out for a test drive."
"The Smurfs",2011,"Hank Azaria Neil Patrick Harris Jayma Mays Sofia Vergara Tim Gunn Jonathan Winters Katy Perry Fred Armisen Alan Cumming Anton Yelchin George Lopez","Raja Gosnell","United States","English","As the Smurfs get ready for the Blue Moon Festival, Papa Smurf sees in his cauldron a vision of Clumsy Smurf reaching for a dragon wand and the Smurfs in cages while Gargamel laughs. Not wanting this vision to come true, Papa Smurf disallows Clumsy to pick Smurf Roots. Clumsy disobeys Papa and ends up unintentionally leading Gargamel and Azrael to the village. The Smurfs all flee for their lives while Clumsy unknowingly runs towards the Forbidden Falls, with Papa Smurf, Smurfette, Grouchy, Brainy and Gutsy running after him. They find him at the edge of a cliff, and while trying to help him up, they are sucked into a gigantic vortex that spirits them to present day New York City. To make matters worse, Gargamel and Azrael follow and the Smurfs end up in the apartment of Patrick and Grace Winslow, a married and expectant couple and their Basset Hound Elway. After clarifying things, the Winslows befriend them and allow them to stay in their apartment. The next day, needing to find a ""star gazer"" (a telescope), the Smurfs follow Patrick to his workplace at Anjelou Cosmetics, misunderstanding the previous explanation of his job as fortune-telling. He calls Grace to pick them up."
"Snowflake, the White Gorilla",2013,"David Spade Ariana Grande Jennette Mc Curdy Nathan Kress Keith David","Andrés G. Schaer","Spain","Spanish",NA
"Spy Kids:
All the Time in the World",2011,"Jessica Alba Joel Mc Hale Alexa Vega Daryl Sabara Rowan Blanchard Mason Cook Ricky Gervais Jeremy Piven","Robert Rodriguez","United States","English Spanish","OSS agent Marissa Wilson (Jessica Alba) is attempting to capture a criminal named Tick Tock (Jeremy Piven), who purchases a mini-disk stolen from OSS. Despite being nine months pregnant, she continues her pursuit against the admonitions of her boss Danger D'Amo (also played by Jeremy Piven). Tick Tock is captured and the mini-disk, which contains information on a weapon of mass destruction called Project: Armageddon, is retrieved."
"Tainá 3: The Origin",2011,"Wiranu TembéMayara Bentes Guilherme Berenguer Leon Goes Gracindo Júnior Nuno Leal Maia","Rosane Svartman","Brazil","Portuguese","The Amazon rainforest is invaded by pirates and a native girl named Maya ends up becoming a victim of bandits, leaving her baby Tainá orphaned. The child is sheltered between the roots of a great tree and rescued by the lonely old shaman Tigê, who takes care of her and only returns to his people five years later, when the new leader will be chosen as the defender of nature. As a girl, Tainá is prevented from presenting herself, but the legacy of her mother, the last of the warriors, and with the support of the smart city girl Laurinha and the native Gobi, she decides to face the evildoers, unraveling the mystery of his own origins.[1]"
